Uniprot_ID;HEK293;MCF10A;U2OS;GO_RBP;RBP_Capture
P40925;0;1;0;FALSE;TRUE
P40939;1;1;1;FALSE;FALSE
P41091;1;1;0;TRUE;FALSE
P41214;1;1;1;TRUE;TRUE
P41227;1;0;0;FALSE;FALSE
P41229;1;0;0;FALSE;FALSE
P41240;1;0;0;FALSE;FALSE
P41250;1;1;1;FALSE;FALSE
P41252;1;1;1;TRUE;FALSE
P41743;0;0;1;FALSE;FALSE
P42166;1;0;0;FALSE;TRUE
P42167;1;1;0;FALSE;TRUE
P42224;1;1;1;FALSE;FALSE
P42226;0;1;1;FALSE;FALSE
P42285;1;1;1;TRUE;TRUE
P42345;1;0;1;FALSE;FALSE
P42356;1;0;1;FALSE;FALSE
P42566;0;1;1;FALSE;FALSE
P42694;1;0;1;TRUE;TRUE
P42695;1;0;1;FALSE;FALSE
P42696;1;1;1;TRUE;TRUE
P42704;1;1;1;TRUE;TRUE
P42765;0;1;0;TRUE;TRUE
P42766;1;1;1;TRUE;TRUE
P42858;1;0;1;FALSE;FALSE
P43246;1;0;1;FALSE;FALSE
P43304;0;1;1;FALSE;FALSE
P43487;1;1;1;FALSE;FALSE
P43686;0;0;1;FALSE;FALSE
P45880;1;1;1;FALSE;FALSE
P45973;1;0;0;FALSE;FALSE
P45974;1;1;1;FALSE;FALSE
P46013;1;1;1;TRUE;TRUE
P46060;1;1;1;TRUE;FALSE
P46087;1;1;1;TRUE;TRUE
P46100;1;1;0;FALSE;FALSE
P46109;1;1;1;TRUE;TRUE
P46379;1;0;1;FALSE;FALSE
P46459;1;0;1;FALSE;TRUE
P46776;1;1;1;TRUE;TRUE
P46777;1;1;1;TRUE;TRUE
P46778;1;1;1;TRUE;TRUE
P46779;1;0;1;TRUE;TRUE
P46781;1;1;1;TRUE;TRUE
P46782;1;1;1;TRUE;TRUE
P46783;1;1;1;TRUE;TRUE
P46821;1;0;0;FALSE;TRUE
P46939;1;1;1;FALSE;FALSE
P46940;1;1;1;FALSE;FALSE
P47756;1;1;1;FALSE;FALSE
P47813;1;0;0;TRUE;TRUE
P47897;1;1;1;FALSE;FALSE
P47914;1;1;1;TRUE;TRUE
P48059;0;1;1;FALSE;FALSE
P48147;0;1;0;FALSE;FALSE
P48444;1;1;1;TRUE;TRUE
P48449;0;0;1;FALSE;FALSE
P48506;0;1;0;FALSE;FALSE
P48634;1;1;1;TRUE;TRUE
P48643;1;1;1;TRUE;FALSE
P48729;0;1;0;FALSE;FALSE
P49006;1;0;0;FALSE;FALSE
P49023;0;1;1;FALSE;FALSE
P49189;1;1;1;FALSE;FALSE
P49207;1;1;1;TRUE;FALSE
P49257;0;1;1;FALSE;FALSE
P49321;1;1;1;FALSE;FALSE
P49327;1;1;1;TRUE;TRUE
P49368;1;1;1;TRUE;TRUE
P49411;1;1;1;TRUE;TRUE
P49419;1;0;0;FALSE;TRUE
P49458;1;0;0;TRUE;FALSE
P49588;1;1;1;TRUE;TRUE
P49589;1;1;1;TRUE;FALSE
P49591;1;1;1;TRUE;TRUE
P49736;1;0;1;FALSE;FALSE
P49748;0;1;0;FALSE;FALSE
P49750;1;1;1;TRUE;TRUE
P49756;1;1;1;TRUE;TRUE
P49757;0;0;1;FALSE;FALSE
P49792;1;1;1;TRUE;TRUE
P49815;1;0;1;FALSE;FALSE
P49841;0;1;0;FALSE;FALSE
P49915;1;1;1;FALSE;FALSE
P49916;1;0;0;FALSE;FALSE
P49959;1;0;0;FALSE;FALSE
P50395;0;1;1;TRUE;TRUE
P50402;0;1;1;FALSE;FALSE
P50479;0;1;1;FALSE;FALSE
P50552;0;1;1;FALSE;FALSE
P50748;1;0;1;FALSE;FALSE
P50750;1;1;1;TRUE;FALSE
P50851;1;1;1;FALSE;FALSE
P50914;1;1;1;TRUE;TRUE
P50990;1;1;1;FALSE;FALSE
P50991;1;1;1;TRUE;TRUE
P50995;1;1;1;TRUE;TRUE
P51114;1;1;1;TRUE;TRUE
P51116;1;1;1;TRUE;TRUE
P51148;0;1;0;FALSE;FALSE
P51531;0;1;0;FALSE;FALSE
P51532;1;0;1;FALSE;FALSE
P51610;1;1;1;FALSE;FALSE
P51659;1;0;0;FALSE;FALSE
P51665;1;1;0;FALSE;FALSE
P51812;1;0;0;FALSE;FALSE
P51858;1;1;0;TRUE;TRUE
P51991;1;1;1;TRUE;TRUE
P52209;1;1;1;FALSE;FALSE
P52272;1;1;1;TRUE;TRUE
P52292;1;1;1;TRUE;TRUE
P52294;1;0;1;FALSE;FALSE
P52565;1;1;0;FALSE;FALSE
P52597;1;1;1;TRUE;TRUE
P52701;1;0;1;FALSE;FALSE
P52732;1;0;1;FALSE;FALSE
P52789;0;1;1;FALSE;FALSE
P52888;1;1;0;FALSE;FALSE
P52907;0;1;0;FALSE;FALSE
P52948;1;1;1;TRUE;FALSE
P53041;1;1;0;TRUE;FALSE
P53350;1;0;0;FALSE;FALSE
P53396;1;1;1;FALSE;FALSE
P53582;1;0;1;FALSE;FALSE
P53618;1;1;1;FALSE;TRUE
P53621;1;1;1;FALSE;FALSE
P53985;1;1;0;FALSE;FALSE
P53992;1;1;1;FALSE;FALSE
P53999;1;1;1;TRUE;TRUE
P54098;0;0;1;FALSE;FALSE
P54132;1;0;0;FALSE;FALSE
P54136;1;1;1;TRUE;FALSE
P54577;1;1;1;TRUE;TRUE
P54578;0;1;0;FALSE;FALSE
P54886;1;1;1;TRUE;TRUE
P55010;1;0;0;TRUE;TRUE
P55011;1;1;1;FALSE;FALSE
P55036;0;1;0;TRUE;TRUE
P55060;1;1;1;FALSE;TRUE
P55072;1;1;1;TRUE;TRUE
P55081;1;1;1;TRUE;TRUE
P55084;0;1;1;TRUE;TRUE
P55145;0;0;1;TRUE;TRUE
P55196;1;1;1;FALSE;TRUE
P55199;1;0;0;FALSE;FALSE
P55209;1;1;1;TRUE;TRUE
P55265;1;1;1;TRUE;TRUE
P55735;0;1;0;FALSE;FALSE
P55786;1;1;1;FALSE;FALSE
P55795;1;1;1;TRUE;TRUE
P55854;1;0;1;FALSE;FALSE
P55884;1;1;1;TRUE;TRUE
P56182;1;1;1;TRUE;TRUE
P56192;1;1;1;TRUE;FALSE
P56537;0;1;0;TRUE;FALSE
P57678;1;0;1;FALSE;FALSE
P57721;1;0;1;TRUE;TRUE
P57737;1;0;1;FALSE;FALSE
P57740;1;0;1;FALSE;FALSE
P58107;1;1;0;TRUE;TRUE
P60174;1;1;1;FALSE;FALSE
P60228;1;1;1;TRUE;TRUE
P60468;0;1;0;TRUE;TRUE
P60660;1;1;1;FALSE;FALSE
P60842;1;1;1;TRUE;TRUE
P60866;1;1;1;TRUE;TRUE
P60903;0;1;0;FALSE;FALSE
P60981;0;1;0;FALSE;FALSE
P61026;0;1;0;FALSE;FALSE
P61081;1;0;0;FALSE;TRUE
P61106;0;1;0;FALSE;FALSE
P61158;0;1;1;FALSE;FALSE
P61221;1;1;1;FALSE;TRUE
P61247;1;1;1;TRUE;TRUE
P61254;1;1;1;TRUE;TRUE
P61313;1;1;1;TRUE;TRUE
P61353;1;1;1;TRUE;TRUE
P61956;1;1;1;TRUE;TRUE
P61964;0;1;0;FALSE;FALSE
P61978;1;1;1;TRUE;TRUE
P61981;0;1;0;TRUE;TRUE
P62070;0;1;0;FALSE;FALSE
P62081;1;1;1;TRUE;TRUE
P62136;1;0;1;FALSE;FALSE
P62140;0;1;1;FALSE;FALSE
P62191;1;1;0;TRUE;TRUE
P62195;0;1;0;FALSE;FALSE
P62241;1;1;1;TRUE;TRUE
P62244;0;0;1;TRUE;TRUE
